Country,City,Best_Time_to_Travel,Description,Avg_Cost
India,Goa,November to February,"Famous for its golden beaches, vibrant nightlife, and affordable seaside resorts.",40
Indonesia,Bali,May to September,"Tropical paradise known for beaches, temples, and surfing.",60
Thailand,Phuket,November to April,"Island destination offering beaches, scuba diving, and street markets.",55
France,Paris,April to June,"The city of lights, famous for art, cafes, and romantic ambiance.",150
UAE,Dubai,November to March,"Luxury shopping, desert safaris, and futuristic architecture.",200
Switzerland,Zurich,June to September,Beautiful alpine scenery with lakes and mountain trails.,220
Japan,Tokyo,March to May,"A mix of tradition and technology, famous for cherry blossoms.",180
Australia,Sydney,September to November,"Harbour city known for beaches, Opera House, and outdoor lifestyle.",170
Italy,Rome,April to June,"Historic sites like the Colosseum and Vatican City, rich culture and cuisine.",160
USA,New York,April to October,"The city that never sleeps, offering Broadway shows and skyscrapers.",190
Nepal,Kathmandu,September to November,"Gateway to the Himalayas, rich in culture and temples.",50
Singapore,Singapore,December to February,"Modern city-state with gardens, shopping, and street food.",140
Maldives,Malé,November to April,"Luxury island resorts, crystal-clear waters, and snorkeling.",250
Canada,Vancouver,June to August,"Known for mountains, beaches, and cultural diversity.",180
Brazil,Rio de Janeiro,December to March,"Home of Carnival, beaches, and iconic Christ the Redeemer statue.",100
South Africa,Cape Town,November to March,"Beautiful coastlines, Table Mountain, and vineyards.",120
Egypt,Cairo,October to April,"Explore pyramids, the Nile River, and ancient history.",90
Turkey,Istanbul,April to June,"Where East meets West, full of markets, mosques, and cuisine.",110
Greece,Santorini,May to September,Scenic island with white buildings and sunset views over the Aegean Sea.,130
Spain,Barcelona,May to July,"Famous for Gaudí architecture, beaches, and vibrant nightlife.",140
India,Delhi,October to March,"Capital city known for its historical monuments, food, and cultural diversity.",70
India,Mumbai,November to February,"The city of dreams, known for Bollywood, marine drive, and street food.",80
India,Jaipur,October to March,"The Pink City famous for forts, palaces, and Rajasthani culture.",65
India,Kerala,September to March,"God’s Own Country with backwaters, beaches, and hill stations.",75
India,Leh-Ladakh,June to September,Adventure paradise surrounded by mountains and Buddhist monasteries.,90
India,Varanasi,October to March,"Spiritual capital of India, known for ghats, temples, and Ganga aarti.",60
India,Shimla,March to June,"Hill station with colonial charm, snow-capped peaks, and pine forests.",70
India,Manali,April to June,Popular hill station for adventure sports and scenic views of the Himalayas.,75
India,Darjeeling,March to May,"Queen of the Hills, known for tea gardens and toy train.",80
India,Andaman and Nicobar Islands,November to May,"Tropical islands known for scuba diving, beaches, and coral reefs.",100
India,Udaipur,September to March,City of Lakes with royal palaces and romantic charm.,85
India,Rishikesh,September to November,"Yoga capital of the world, known for river rafting and spiritual vibe.",55
India,Hyderabad,October to February,"City of pearls known for its cuisine, Charminar, and heritage.",65
India,Bengaluru,October to February,"Garden city of India, known for tech culture and pleasant weather.",70
India,Mysore,October to March,"Known for Mysore Palace, Dussehra festival, and silk sarees.",60
India,Pondicherry,October to February,French colonial town with serene beaches and vibrant cafes.,75
India,Kodaikanal,April to June,"Hill station with lakes, waterfalls, and misty mountains.",85
India,Ooty,April to June,Queen of hill stations with tea estates and scenic train rides.,80
India,Kolkata,October to February,"Cultural capital known for festivals, sweets, and colonial architecture.",70
India,Coorg,October to April,"Coffee paradise with waterfalls, greenery, and trekking trails.",90
India,Amritsar,November to March,Home to the Golden Temple and rich Punjabi cuisine.,65
India,Madurai,December to February,Ancient temple city known for Meenakshi Amman Temple.,60
India,Agra,November to February,"Home of the Taj Mahal, symbol of love and Mughal architecture.",75
India,Rann of Kutch,November to February,White desert famous for Rann Utsav and cultural experiences.,85
India,Kaziranga,November to April,National park famous for one-horned rhinoceros and wildlife safaris.,90
India,Spiti Valley,June to September,Cold desert mountain valley known for monasteries and adventure.,95
